0,1,2,3,4,5,6
Λιβανός,Διονυσίου,Σπυρίδωνας-Παναγιώτης,(Σπήλιος),,,
Βαρεμένος,Βασιλείου,Γεώργιος,,,,
Μωραΐτης,Χρήστου,Αθανάσιος,(Θάνος),,,
Κωνσταντόπουλος,Χρήστου,Δημήτριος,,,,
Παπαναστάσης,Αθανασίου,Νικόλαος,,,,
Ανδριανός,Σωτηρίου,Ιωάννης,,,,
Γκιόλας,Δημητρίου,Ιωάννης,,,,
Πουλάς,Θεοδοσίου,Ανδρέας,,,,
Βλάσης,Γεωργίου,Κωνσταντίνος,,,,
Παπαηλιού,Ηλία,Γεώργιος,,,,
Κωνσταντινόπουλος,Κωνσταντίνου,Οδυσσέας,,,,
Στύλιος,Δημοσθένη,Γεώργιος,,,,
Γεροβασίλη,Βασιλείου,Όλγα,,,,
Γκόκας,Ναπολέοντα,Χρήστος,,,,
Τσιγκρής,Αντωνίου,Άγγελος,,,,
Κατσανιώτης,Ιωάννη,Ανδρέας,,,,
Φωτήλας,Ασημάκη,Ιάσων,,,,
Αλεξοπούλου,Μιχαήλ,Χριστίνα,,,,
Τσίπρας,Παύλου,Αλέξιος,,,,
Αναγνωστοπούλου,Πέτρου,Αθανασία,(Σία),,,
Μάρκου,Βασιλείου,Κωνσταντίνος,,,,
Παπανδρέου,Ανδρέα,Γεώργιος,,,,
Καραθανασόπουλος,Πέτρου,Νικόλαος,,,,
Κουτσούμπας,Βασιλείου,Ανδρέας,,,,
Πούλου,Λεωνίδα,Παναγιού,(Γιώτα),,,
Μουλκιώτης,Βασιλείου,Γεώργιος,,,,
Πάτσης,Κωνσταντίνου,Ανδρέας,,,,
Μπλούχος,Δημητρίου,Κωνσταντίνος,,,,
Ξανθόπουλος,Σάββα,Θεόφιλος,,,,
Κεφαλίδου,Δημητρίου,Χαρούλα,(Χαρά),,,
Κόνσολας,Νικία,Εμμανουήλ,(Μάνος),,,
Υψηλάντης,Αναστασίου,Βασίλειος,-,Νικόλαος,,
Ιατρίδη,Ιωάννη,Τσαμπίκα,(Μίκα),,,
Παππάς,Κωνσταντίνου,Ιωάννης,,,,
Σαντορινιός,,Κωνσταντίνου,Νεκτάριος,,,
Δημοσχάκης,,Σπύρου,Αναστάσιος,(Τάσος),,
Δερμεντζόπουλος,Αλεξάνδρου,Χρήστος,,,,
