0,1,2,3,4,5,6
Δαβάκης,Αθανάσιος,Παναγιώτη,,,,
Αραχωβίτης,Σταύρος,Γεωργίου,,,,
Γρηγοράκος,Λεωνίδας,Γεωργίου,,,,
Χαρακόπουλος,Μάξιμος,Παντελή,,,,
Κέλλας,Χρήστος,Αχιλλέα,,,,
Διώτη,Ηρώ,Μαρίνου,,,,
Σαχινίδης,Φίλιππος,Δημητρίου,,,,
Ζώης,Χρήστος,Κωνσταντίνου,,,,
Λαμπρούλης,Γεώργιος,Αριστείδη,,,,
Αλεξόπουλος,Χρυσοβαλάντης,Δημητρίου,,,,
Ψύρρας,Θωμάς,Θεοδώρου,,,,
Πλακιωτάκης,Ιωάννης,Ιωσήφ,,,,
Καρχιμάκης,Μιχαήλ,Ελευθερίου,,,,
Βογιατζής,Παύλος,Γεωργίου,,,,
Ζερδελής,Ιωάννης,Χριστοφόρου,,,,
Καραγιάννης,Δημήτριος,Βασιλείου,,,,
Σολδάτος,Θεόδωρος,Φωτίου,,,,
Νάκος,Αθανάσιος,,Σταύρου,,,
Χρυσοβελώνη,Μαρίνα,Γεωργίου,,,,
Νάνος,Απόστολος,Γεωργίου,,,,
Ηλιόπουλος,Παναγιώτης,Κωνσταντίνου,,,,
Μουτσινάς,Παρίσης,(Πάρις),Ιωάννη,,,
Σαμαράς,Αντώνιος,Κωνσταντίνου,,,,
Λαμπρόπουλος,Ιωάννης,Δημητρίου,,,,
Πετράκος,Αθανάσιος,Κωνσταντίνου,,,,
Γιαννακοπούλου,Κωνσταντίνα,(Νάντια),Ιωάννη,,,
Κουκούτσης,Δημήτριος,Νικολάου,,,,
Κοντός,Αλέξανδρος,Ευστρατίου,,,,
Ζεϊμπέκ,Χουσεϊν,Χασάν,,,,
Σαλτούρος,Δημήτριος,Παναγιώτη,,,,
Καρασμάνης,Γεώργιος,Αθανασίου,,,,
Σταμενίτης,Διονύσιος,Ευαγγέλου,,,,
Τζάκρη,Θεοδώρα,Εμμανουήλ,,,,
Γραμματικόπουλος,Αθανάσιος,Δημητρίου,,,,
Κουκοδήμος,Κωνσταντίνος,Γεωργίου,,,,
Κωνσταντόπουλος,Γεώργιος,Λεωνίδα,,,,
Χριστογιάννης,Δημήτριος,Διονυσίου,,,,
Παπαδόπουλος,Ευγένιος,Ιωάννη,,,,
Τσουμάνης,Δημήτριος,Αχιλλέα,,,,
Ιωάννου,Βασίλειος,Ιωάννη,,,,
Ξανθός,Ανδρέας,Γεωργίου,,,,
Όθωνας,Εμμανουήλ,Όθωνα,,,,
Στυλιανίδης,Ευριπίδης,Στυλιανού,,,,
Καρά,Γιουσούφ,Αϊχάν,Μεμέτ,,,
Χατζή,Οσμάν,Αχμέτ,Ραήφ,,,
Μαυρατζώτης,Δημήτριος,Εμμανουήλ,,,,
Βλάχβεης,Μενέλαος,Χρήστου,,,,
Αραμπατζή,Φωτεινή,Αθανασίου,,,,
Λεονταρίδης,Θεόφιλος,Χρήστου,,,,
Μπόλαρης,Μάρκος,Ηλία,,,,
Κόλλια,-,Τσαρουχά,Μαρία,Ευστρατίου,,
Σιώης,Νικήτας,Γεωργίου,,,,
Φωτίου,Ευάγγελος,Γεωργίου,,,,
Βλαχογιάννης,Ηλίας,Γεωργίου,,,,
Σκρέκας,Κωνσταντίνος,Θεοδώρου,,,,
Οικονόμου,Γεώργιος,Χρήστου,,,,
Κανταρτζής,Αχιλλέας,Κλεομένη,,,,
Κυρίτσης,Γεώργιος,Δημητρίου,,,,
Σταϊκούρας,Χρήστος,Κωνσταντίνου,,,,
Κυριακάκης,Βασίλειος,Κωνσταντίνου,,,,
Τσώνης,Νικόλαος,Αθανασίου,,,,
Χειμάρας,Θεόδωρος,Αντωνίου,,,,
Γκλέτσος,Απόστολος,Κωνσταντίνου,,,,
Κωνσταντινίδης,Ευστάθιος,Γεωργίου,,,,
Σαμαράς,Νικόλαος,Ιωάννη,,,,
Μανδρέκα,Ασπασία,Παναγιώτη,,,,
Καρανάσιος,Ευθύμιος,Βασιλείου,,,,
Ιγγλέζη,Αικατερίνη,Θεοδώρου,,,,
Δριβελέγκας,Ιωάννης,Κωνσταντίνου,,,,
Βολουδάκης,Μανούσος,-,Κωνσταντίνος,Γεωργίου,,
Βιρβιδάκης,Κυριάκος,Επαμεινώνδα,,,,
Γυπάρης,Κωνσταντίνος,Γεωργίου,,,,
Σταθάκης,Γεώργιος,Μηνά,,,,
Μουσουρούλης,Κωνσταντίνος,Δημητρίου,,,,
Τριαντάφυλλος,Κωνσταντίνος,Δημοσθένη,,,,
Μητσοτάκης,Κυριάκος,Κωνσταντίνου,,,,
Χατζηδάκης,Κωνσταντίνος,(Κωστής),Ιωάννη,,,
Βούλτεψη,Σοφία,Ιωάννη,,,,
Ντινόπουλος,Αργύρης,Βασιλείου,,,,
Βαρβιτσιώτης,Μιλτιάδης,Ιωάννη,,,,
Γεωργιάδης,Σπυρίδων,-,Άδωνις,Αθανασίου,,
Μεϊμαράκης,Ευάγγελος,-,Βασίλειος,Ιωάννη,,
Σπηλιωτόπουλος,Αριστόβουλος,(Άρης),Ελευθερίου,,,
Γιακουμάτος,Γεράσιμος,Χαραλάμπους,,,,
Πολύδωρας,Βύρων,Γεωργίου,,,,
Καραμανλή,Άννα,Αρκαδίου,,,,
Παναγιωτόπουλος,Παναγιώτης,(Πάνος),Παναγιώτη,,,
Παπακώστα,-,Σιδηροπούλου,Αικατερίνη,Αγγέλου,,
Παπαθανασίου,Γιάννης,Δημητρίου,,,,
Σακοράφα,Σοφία,Ηλία,,,,
Κουρουμπλής,Παναγιώτης,Ελευθερίου,,,,
Παπαδημούλης,Δημήτριος,Χριστόδουλου,,,,
Δραγασάκης,Ιωάννης,Ανδρέα,,,,
Δούρου,Ειρήνη,(Ρένα),Αθανασίου,,,
Στρατούλης,Δημήτριος,Ιωάννη,,,,
Βαλαβάνη,Όλγα,-,Νάντια,Γεωργίου,,
Τατσόπουλος,Πέτρος,-,Γεώργιος,Ευαγγέλου,,
Τσακαλώτος,Ευκλείδης,Στεφάνου,,,,
Λοβέρδος,Ανδρέας,Νικολάου,,,,
Χρυσοχοΐδης,Μιχαήλ,Βασιλείου,,,,
Ανδρουλάκης,Δημήτριος,(Μίμης),Γρηγορίου,,,
Κακλαμάνης,Απόστολος,Χρήστου,,,,
Δημαράς,Ιωάννης,Νικολάου,,,,
Καπερνάρος,Βασίλειος,Ηλία,,,,
Μανώλης,Ιωάννης,Γεωργίου,,,,
Κοντογιαννίδης,Παύλος,Χρήστου,,,,
Βουλβουκέλη,Βασιλική,-,Ραφαέλλα,Σταύρου,,
Παπαρήγα,Αλεξάνδρα,Νικολάου,,,,
Χαλβατζής,Σπυρίδων,Εμμανουήλ,,,,
Κατσώτης,Χρήστος,Περικλή,,,,
Κροκίδη,Λίνα,Νικολάου,,,,
Ζαρούλια,Ελένη,Βασιλείου,,,,
Γερμενής,Γεώργιος,Σπυρίδωνος,,,,
Παναγιώταρος,Ηλίας,Κωνσταντίνου,,,,
Κουβέλης,Φώτιος,-,Φανούριος,Ευαγγέλου,,
Ψαριανός,Γρηγόριος,Νικολάου,,,,
Βουδούρης,Οδυσσεύς,-,Νίκος,Γεωργίου,,
Ραγκούσης,Ιωάννης,Νικολάου,,,,
Παναρίτη,Ελένη,(Έλενα),Ιωάννου,,,
Μόσιαλος,Ηλίας,Αρχοντή,,,,
Γερουλάνος,Παύλος,Μαρίνου,,,,
Σιούφας,Δημήτριος,Γεωργίου,,,,
Τσουμάνη,-,Σπέντζα,Ευγενία,Λάμπρου,,
Αυγερινοπούλου,Διονυσία,-,Θεοδώρα,Ζήσιμου,,
Καζάκος,Κωνσταντίνος,Αναστασίου,,,,
Κοραντής,Ιωάννης,Αντωνίου,,,,
Μουλόπουλος,Βασίλειος,Διονυσίου,,,,
Αντώναρος,Ευάγγελος,Αρχελάου,,,,
Καραπαναγιώτη,Τατιάνα,Λεωνίδα-Αθανασίου,,,,
Σκανδαλίδης,Κωνσταντίνος,Γεωργίου,,,,
Διαμαντοπούλου,Άννα,Δημητρίου,,,,
Παπουτσής,Χρήστος,Δημητρίου,,,,
Αλευράς,Αθανάσιος,(Νάσος),Γεωργίου,,,
Τσούρας,Αθανάσιος,Αγγέλου,,,,
Κουβέλης,Σπυρίδων,Σταύρου,,,,
Μπακογιάννη,Θεοδώρα,(Ντόρα),Κωνσταντίνου,,,
Παυλόπουλος,Προκόπιος,Βασιλείου,,,,
Βόζεμπεργκ,Ελισσάβετ,(Ελίζα),Κυριάκου,,,
Πιπιλή,Φωτεινή,Ανδρέα,,,,
Κανέλλη,Γαρυφαλλιά,(Λιάνα),Χρήστου,,,
Παφίλης,Αθανάσιος,Σπυρίδωνος,,,,
Πλεύρης,Αθανάσιος,Κωνσταντίνου,,,,
Τσίπρας,Αλέξιος,Παύλου,,,,
Οικονόμου,Παντελής,Σπυρίδωνα,,,,
Κουντουρά,Έλενα,Αλεξάνδρου,,,,
Βαγενά-Κηλαηδόνη,Άννα,,,,,
Καρύδης,Δημήτριος,Μιχαήλ,,,,
Μπεντενιώτης,Εμμανουήλ,Ανάργυρου,,,,
Μανωλάκου,Διαμάντω,Εμμανουήλ,,,,
Αποστολάτος,Βαϊτσης,Σπυρίδωνα,,,,
Δρίτσας,Θεόδωρος,Παναγιώτη,,,,
Μελάς,Παναγιώτης,Ιωάννη,,,,
Λαφαζάνης,Παναγιώτης,Γεωργίου,,,,
Νιώτης,Γρηγόριος,Δημητρίου,,,,
Λιντζέρης,Δημήτριος,Γεωργίου,,,,
Διαμαντίδης,Ιωάννης,Δημητρίου,,,,
Τραγάκης,Ιωάννης,Παναγιώτη,,,,
Νεράντζης,Αναστάσιος,Δημητρίου,,,,
Νικολαϊδου,Βαρβάρα,(Βέρα),Αρίσταρχου,,,
Ανατολάκης,Γεώργιος,Στεφάνου,,,,
Οικονόμου,Βασίλειος,Αθανασίου,,,,
Παπανδρέου,Γεώργιος,Ανδρέα,,,,
Χριστοφιλοπούλου,Παρασκευή,(Εύη),συζ.,Δημητρίου,,
Πάγκαλος,Θεόδωρος,Γεωργίου,,,,
Ασπραδάκης,Παντελεήμων,(Παντελής),Μιχαήλ,,,
Βρεττός,Κωνσταντίνος,(Ντίνος),Σπυρίδωνος,,,
Βλάχος,Γεώργιος,Θεοδώρου,,,,
Μπούρας,Αθανάσιος,Κωνσταντίνου,,,,
Καντερές,Νικόλαος,Ευαγγέλου,,,,
Γκιόκας,Ιωάννης,Χρήστου,,,,
Λεβέντης,Αθανάσιος,Σωτηρίου,,,,
Καλαποθαράκος,Χρήστος,Βασιλείου,,,,
Μωραΐτης,Νικόλαος,Επαμεινώνδα,,,,
Μακρυπίδης,Ανδρέας,Διονυσίου,,,,
Γιαννακά,Σοφία,Δημητρίου,,,,
Κουρουμπλής,Παναγιώτης,Ελευθερίου,,,,
Σαλμάς,Μάριος,Γεωργίου,,,,
Σταμάτης,Δημήτριος,Γεωργίου,,,,
Καραγκούνης,Κωνσταντίνος,Ανδρέα,,,,
Μωραΐτης,Αθανάσιος,(Θάνος),Χρήστου,,,
Μανιάτης,Ιωάννης,Αναστασίου,,,,
Ανδριανός,Ιωάννης,Σωτηρίου,,,,
Παπαδημητρίου,Ελισάβετ,(Έλσα),Δημητρίου,,,
Ρέππας,Δημήτριος,Παναγιώτη,,,,
Κωνσταντινόπουλος,Οδυσσέας,Κωνσταντίνου,,,,
Λυκουρέντζος,Ανδρέας,Θεοφάνη,,,,
Τσιρώνης,Δημήτριος,Μιχαήλ,,,,
Παπασιώζος,Κωνσταντίνος,Χρήστος,,,,
Γκόκας,Χρήστος,Ναπολέοντα,,,,
Σπηλιόπουλος,Κωνσταντίνος,Γεωργίου,,,,
Παπαδόπουλος,Αθανάσιος,Ιωάννη,,,,
Τριανταφυλλόπουλος,Ανδρέας,Θεοδώρου,,,,
Μπεκίρης,Μιχαήλ,Βασιλείου,,,,
Νικολόπουλος,Νικόλαος,Ιωάννου,,,,
Καραθανασόπουλος,Νικόλαος,Πέτρου,,,,
Τσούκαλης,Νικόλαος,Σπυρίδωνος,,,,
Χρυσανθακόπουλος,Αλέξανδρος,Χρήστου,,,,
Κυριακοπούλου,Μαρία,Ηλία,,,,
Τόγιας,Βασίλειος,Ιωάννη,,,,
Τσόνογλου,-Βυλλιώτη,Βασιλική,Παράσχου,,,
Αγάτσα,Αριάδνη,Αριστείδη,,,,
Γιαννάκης,Μιχαήλ,Ευαγγέλου,,,,
Χαντάβας,Αθανάσιος,Αριστοτέλη,,,,
Αηδόνης,Χρήστος,Ευαγγέλου,,,,
Κεφαλίδου,Χαρούλα,(Χαρά),Δημητρίου,,,
Τζίμας,Μαργαρίτης,Γεωργίου,,,,
Κρεμαστινός,Δημήτριος,Θωμά,,,,
Νικητιάδης,Γεώργιος,Νικολάου,,,,
Ζωίδης,Νικόλαος,Ηλία,,,,
Ιατρίδη,Τσαμπίκα,(Μίκα),Ιωάννη,,,
Κασσάρας,Γεώργιος,Ιωάννη,,,,
Ντόλιος,Γεώργιος,Πασχάλη,,,,
Ρενταρή,-,Τέντε,Όλγα,Νικολάου,,
Τσιαούση,Ελένη,Παναγιώτη,,,,
Δερμεντζόπουλος,Αλέξανδρος,Χρήστου,,,,
Περλεπέ,-,Σηφουνάκη,Αικατερίνη,Αγγέλου,,
Κεδίκογλου,Συμεών,(Σίμος),Βασιλείου,,,
Μαρκόπουλος,Κωνσταντίνος,Αθανασίου,,,,
Κεδίκογλου,Συμεών,Αγγέλου,,,,
Μαρίνος,Γεώργιος,Βασιλείου,,,,
Παπανδρέου,-,Παπαδάκη,Ουρανία,Νικολάου,,
Καρανίκας,Ηλίας,Δημητρίου,,,,
Κλαυδιανού,Μαρία,Γεωργίου,,,,
Κατρίνης,Μιχαήλ,Ιωάννη,,,,
Κουτσούκος,Γιάννης,Δημητρίου,,,,
Αντωνακόπουλος,Παναγιώτης,Γεωργίου,,,,
Δημητρουλόπουλος,Παναγιώτης,(Τάκης),Πανταζή,,,
Κοντογιάννης,Γεώργιος,Δημητρίου,,,,
Τζαβάρας,Κωνσταντίνος,Γεωργίου,,,,
Σιδηρόπουλος,Αναστάσιος,Γεωργίου,,,,
Γικόνογλου,Αθανάσιος,Μόσχου,,,,
Τόλκας,Άγγελος,Χαράλαμπου,,,,
Χαλκίδης,Μιχαήλ,Γεωργίου,,,,
Κεγκέρογλου,Βασίλειος,Αλεξάνδρου,,,,
Παρασύρης,Φραγκίσκος,Γεωργίου,,,,
Στρατάκης,Εμμανουήλ,Σοφοκλή,,,,
Σκραφνάκη,Μαρία,Γρηγορίου,,,,
Αυγενάκης,Ελευθέριος,Κωνσταντίνου,,,,
Κεφαλογιάννης,Εμμανουήλ,Κωνσταντίνου,,,,
Κριτσωτάκης,Μιχαήλ,Γεωργίου,,,,
Μιχελογιαννάκης,Ιωάννης,Δημητρίου,,,,
Κατσούρας,Χρήστος,Σπυρίδωνα,,,,
Βενιζέλος,Ευάγγελος,Βασιλείου,,,,
Καστανίδης,Χαράλαμπος,Γεωργίου,,,,
Αράπογλου,Χρυσή,,Ανέστη,,,
Μαγκριώτης,Ιωάννης,Αστερίου,,,,
Καϊλή,Ευδοξία-Εύα,Aλεξάνδρου,,,,
Βούγιας,Σπυρίδων,Αλεξάνδρου,,,,
Καραμανλής,Κωνσταντίνος,Αλεξάνδρου,,,,
Γκιουλέκας,Κωνσταντίνος,Πέτρου,,,,
Καλαφάτης,Σταύρος,Αθανασίου,,,,
Ιωαννίδης,Ιωάννης,Δημητρίου,,,,
Ράπτη,Ελένη,Δημητρίου,,,,
Ζιώγας,Ιωάννης,Ηλία,,,,
Καλαντίδου,Σοφία,Παναγιώτη,,,,
Κολοκοτρώνης,Άγγελος,Χρήστου,,,,
Κουράκης,Αναστάσιος,(Τάσος),Στυλιανού,,,
Τεκτονίδου,Κυριακή,(Βούλα),Αναστασίου,,,
Γερανίδης,Βασίλειος,Θεοδώρου,,,,
Αρβανιτίδης,Γεώργιος,Πέτρου,,,,
Καράογλου,Θεόδωρος,Γεωργίου,,,,
Αναστασιάδης,Σάββας,Ιωάννη,,,,
Βελόπουλος,Κυριάκος,Ιωσήφ,,,,
Αμμανατίδου,-,(Πασχαλίδου),Ευαγγελία,(Λίτσα),Γεωργίου,
Ιγνατιάδης,Θεόδωρος,Γεωργίου,,,,
Παντούλας,Μιχαήλ,Χρήστου,,,,
Αργύρης,Ευάγγελος,Ιωάννη,,,,
Οικονόμου,Αθανάσιος,Σωκράτη,,,,
Τασούλας,Κωνσταντίνος,Αναστασίου,,,,
Καλογιάννης,Σταύρος,Ελευθερίου,,,,
Τιμοσίδης,Μιχαήλ,Ιωάννη,,,,
Παπουτσής,Δημήτριος,Πασχάλη,,,,
Εμινίδης,Σάββας,Κωνσταντίνου,,,,
Παναγιωτόπουλος,Νικόλαος,Ιωάννη,,,,
Ρόβλιας,Κωνσταντίνος,Χρήστου,,,,
Σαλαγιάννης,Νικόλαος,Βασιλείου,,,,
Θεοχάρη,Μαρία,Αριστοτέλη,,,,
Τσιάρας,Κωνσταντίνος,Αλεξάνδρου,,,,
Ταλιαδούρος,Σπυρίδων,Αθανασίου,,,,
Πετσάλνικος,Φίλιππος,Ιωάννη,,,,
Τζηκαλάγιας,Ζήσης,Γεωργίου,,,,
Γκερέκου,Αγγελική,Ιωάννη,,,,
Δένδιας,Νικόλαος,-,Γεώργιος,Σπυρίδωνος,,
Χαραλάμπους,Χαράλαμπος,Μιχαήλ,,,,
Μοσχόπουλος,Σπυρίδωνας,Αγαθαγγέλου,,,,
Παραστατίδης,Θεόδωρος,Σωκράτη,,,,
Κιλτίδης,Κωνσταντίνος,Βασιλείoυ,,,,
Φραγγίδης,Γεώργιος,Σταύρου,,,,
Κουκουλόπουλος,Παρασκευάς,(Πάρις),Δημητρίου,,,
Αθανασιάδης,Αλέξανδρος,Θεοδώρου,,,,
Βλατής,Ιωάννης,Νικολάου,,,,
Κασαπίδης,Γεώργιος,Δημοσθένη,,,,
Παπαδόπουλος,Μιχάλης,Γεωργίου,,,,
Μπεγλίτης,Παναγιώτης,Ανδρέα,,,,
Φαρμάκη-Γκέκη,Αικατερίνη,Γεωργίου,,,,
Μανωλάκης,Άγγελος,Χρήστου,,,,
Κόλλιας,Κωνσταντίνος,Ταξιάρχου,,,,
Ρήγας,Παναγιώτης,Θεοφάνη,,,,
Παπαμανώλης,Γεώργιος,Νικολάου,,,,
Βρούτσης,Ιωάννης,Βασιλείου,,,,
Γρηγοράκος,Λεωνίδας,Γεωργίου,,,,
Δαβάκης,Αθανάσιος,Παναγιώτη,,,,
Αποστολάκος,Γρηγόριος,Γεωργίου,,,,
Έξαρχος,Βασίλειος,Θεοδώρου,,,,
Σαχινίδης,Φίλιππος,Δημητρίου,,,,
Χαρακόπουλος,Μάξιμος,Παντελή,,,,
Ζώης,Χρήστος,Κωνσταντίνου,,,,
Σκυλλάκος,Αντώνιος,Ηλία,,,,
Ροντούλης,Αστέριος,Γεωργίου,,,,
Διώτη,Ηρώ,Μαρίνου,,,,
Αλεξανδρίδου,Βασιλική,Παύλου,,,,
Καρχιμάκης,Μιχαήλ,Ελευθερίου,,,,
Πλακιωτάκης,Ιωάννης,Ιωσήφ,,,,
Σηφουνάκης,Νικόλαος,Οδυσσέα,,,,
Γαληνός,Σπυρίδων,(Σπύρος),Μιχαήλ,,,
Σκοπελίτης,Σταύρος,Γεωργίου,,,,
Μαργέλης,Σπυροπάνος,Νικολάου,,,,
Καρτάλης,Κωνσταντίνος,Ιωάννη,,,,
Ζήση,Ροδούλα,Αθανασίου,,,,
Νάκος,Αθανάσιος,,Σταύρου,,,
Νάνος,Απόστολος,Γεωργίου,,,,
Μαρκάκης,Παύλος,Γεωργίου,,,,
Κουσελάς,Δημήτριος,Ηλία,,,,
Γιαννακοπούλου,Κωνσταντίνα,(Νάντια),Ιωάννη,,,
Βουδούρης,Οδυσσεύς,-,Νίκος,Γεωργίου,,
Σαμαράς,Αντώνιος,Κωνσταντίνου,,,,
Λαμπρόπουλος,Ιωάννης,Δημητρίου,,,,
Μάντατζη,Τσετίν,Μουχάμερ,,,,
Ξυνίδης,Σωκράτης,Γεωργίου,,,,
Κοντός,Αλέξανδρος,Ευστρατίου,,,,
Τζάκρη,Θεοδώρα,Εμμανουήλ,,,,
Θεοδωρίδης,Ηλίας,Ιωάννη,,,,
Γιουματζίδης,Βασίλειος,Μελετίου,,,,
Καρασμάνης,Γεώργιος,Αθανασίου,,,,
Αμοιρίδης,Ιωάννης,Παναγιώτη,,,,
Παπαγεωργίου,Αθανάσιος,Ανδρέα,,,,
Μίχου,Μαρία,Κωνσταντίνου,,,,
Κουκοδήμος,Κωνσταντίνος,Γεωργίου,,,,
Παπαχρήστος,Ευάγγελος,Καλλίμαχου,,,,
Τσουμάνης,Δημήτριος,Αχιλλέα,,,,
Όθωνας,Εμμανουήλ,Όθωνα,,,,
Κεφαλογιάννη,Όλγα,Ιωάννη,,,,
Χατζή,Οσμάν,Αχμέτ,Ραήφ,,,
Πεταλωτής,Γεώργιος,Στυλιανού,,,,
Στυλιανίδης,Ευριπίδης,Στυλιανού,,,,
Βαρδίκος,Πυθαγόρας,Χαραλάμπους,,,,
Μπόλαρης,Μάρκος,Ηλία,,,,
Κουτμερίδης,Ευστάθιος,Θεοδώρου,,,,
Τζελέπης,Μιχαήλ,Γεωργίου,,,,
Λεονταρίδης,Θεόφιλος,Χρήστου,,,,
Καριπίδης,Αναστάσιος,Δημητρίου,,,,
Κόλλια,-,Τσαρουχά,Μαρία,Ευστρατίου,,
Πολατίδης,Ηλίας,Χαραλάμπους,,,,
Χάϊδος,Χρήστος,Ιωάννη,,,,
Μαγκούφης,Χρήστος,Ευθυμίου,,,,
Μερεντίτη,Αθανασία,(Σούλα),Δημητρίου,,,
Χατζηγάκης,Σωτήριος,Μιχαήλ,,,,
Σκρέκας,Θεόδωρος,Κωνσταντίνου,,,,
Τσώνης,Νικόλαος,Αθανασίου,,,,
Αντωνίου,Αντωνία,(Τόνια),Νικολάου,,,
Μπατζελή,Αικατερίνη,Γεωργίου,,,,
Σταϊκούρας,Χρήστος,Κωνσταντίνου,,,,
Γιαννόπουλος,Αθανάσιος,Λάμπρου,,,,
Λιάνης,Γεώργιος,Θεμιστοκλή,,,,
Κωνσταντινίδης,Ευστάθιος,Γεωργίου,,,,
Παπαθανάση,Αφροδίτη,Κωνσταντίνου,,,,
Δριβελέγκας,Ιωάννης,Κωνσταντίνου,,,,
Βαγιωνάς,Γεώργιος,Κωνσταντίνου,,,,
Κατσαρού,Άννα,Χρήστου,,,,
Δαμιανάκης,Ευτύχιος,Νικολάου,,,,
Βαλυράκης,Ιωσήφ,Ιωαν.,,,,
Μαρκογιαννάκης,Χρήστος,Εμμανουήλ,,,,
Κουρουπάκη,Ευαγγελία,Σταύρου,,,,
Λοβέρδος,Ανδρέας,Νικολάου,,,,
Χρυσοχοΐδης,Μιχαήλ,Βασιλείου,,,,
Κατσέλη,Λουκία-Ταρσίτσα,(Λούκα),Πελοπίδα,,,
Κακλαμάνης,Απόστολος,Χρήστου,,,,
Δημαράς,Ιωάννης,Νικολάου,,,,
Αποστολάκη,Ελένη-Μαρία,(Μιλένα),Γεωργίου,,,
Ανδρουλάκης,Δημήτριος,(Μίμης),Γρηγορίου,,,
Ξενογιαννακοπούλου,Μαρία,-,Ελίζα,(Μαριλίζα),Διονυσίου,
Ευθυμίου,Πέτρος,Δημητρίου,,,,
Παπανδρέου,Βασιλική,(Βάσω),Ανδρέα,,,
Σακοράφα,Σοφία,Ηλία,,,,
Χυτήρης,Τηλέμαχος,Γερασίμου,,,,
Κουτρουμάνης,Γεώργιος,Σπυρίδωνος,,,,
Νταλάρα,Άννα,Γεωργίου,,,,
Γείτονας,Κωνσταντίνος,Ιωάννη,,,,
Παπαϊωάννου,Μιλτιάδης,Ηλία,,,,
Βούρος,Ιωάννης,Στεφάνου,,,,
Χαραλαμπόπουλος,Γεώργιος-Ερνέστος,Ιωάννη,,,,
Πρωτόπαπας,Χρήστος,Ιωάννη,,,,
Σπηλιωτόπουλος,Αριστόβουλος,(Άρης),Ελευθερίου,,,
Χατζηδάκης,Κωνσταντίνος,(Κωστής),Ιωάννη,,,
Μεϊμαράκης,Ευάγγελος,-,Βασίλειος,Ιωάννη,,
Μητσοτάκης,Κυριάκος,Κωνσταντίνου,,,,
Γιακουμάτος,Γεράσιμος,Χαραλάμπους,,,,
Καμμένος,Παναγιώτης,(Πάνος),Ηλία,,,
Παναγιωτόπουλος,Παναγιώτης,(Πάνος),Παναγιώτη,,,
Παπαθανασίου,Γιάννης,Δημητρίου,,,,
Πολύδωρας,Βύρων,Γεωργίου,,,,
Βαρβιτσιώτης,Μιλτιάδης,Ιωάννη,,,,
Ντινόπουλος,Αργύρης,Βασιλείου,,,,
Παπαρήγα,Αλεξάνδρα,Νικολάου,,,,
Χαλβατζής,Σπυρίδων,Εμμανουήλ,,,,
Μαυρίκος,Γεώργιος,Εμμανουήλ,,,,
Παπακωνσταντίνου,Νικόλαος,Χρήστου,,,,
Πρωτούλης,Ιωάννης,Παναγιώτη,,,,
Καρατζαφέρης,Γεώργιος,Ιωάννη,,,,
Αϊβαλιώτης,Κωνσταντίνος,Ιωάννη,,,,
Κουβέλης,Φώτιος,-,Φανούριος,Ευαγγέλου,,
Παπαδημούλης,Δημήτριος,Χριστόδουλου,,,,
Ψαριανός,Γρηγόριος,Νικολάου,,,,
Τσουρή,Ελπίδα,Στεφάνου,,,,
Μουσουρούλης,Κωνσταντίνος,Δημητρίου,,,,
Μίχος,Λάμπρος,Σπυρίδωνος,,,,
Ντουκάκης,Μανούσος,Ιωάννη,,,,
Έβερτ,Μιλτιάδης,Αγγέλου,,,,
Σουφλιάς,Γεώργιος,Αθανασίου,,,,
Ρουσόπουλος,Θεόδωρος,Βασιλείου,,,,
Χηνοφώτης,Παναγιώτης,Διονυσίου,,,,
Πατριανάκου,Φεβρωνία,Πέτρου,,,,
Κατσέλη,Λουκία-Ταρσίτσα,(Λούκα),Πελοπίδα,,,
Ραγκούσης,Ιωάννης,Νικολάου,,,,
Δραγώνα,Θάλεια,Ιωάννη,,,,
Κουβέλης,Σπυρίδων,Σταύρου,,,,
Καζάκος,Κωνσταντίνος,Αναστασίου,,,,
Μπανιάς,Ιωάννης,Βασιλείου,,,,
Μπεριάτος,Ηλίας,Τηλέμαχου,,,,
Μπακογιάννη,Θεοδώρα,(Ντόρα),Κωνσταντίνου,,,
Αβραμόπουλος,Δημήτριος,Λάμπρου,,,,
Αλογοσκούφης,Γεώργιος,Σπυρίψων,,,,
Παυλόπουλος,Προκόπιος,Βασιλείου,,,,
Βουλγαράκης,Γεώργιος,Αποστόλου,,,,
Πιπιλή,Φωτεινή,Ανδρέα,,,,
Μπενάκη,-,Ψαρούδα,Άννα,Ευαγγέλου,,
Σκανδαλίδης,Κωνσταντίνος,Γεωργίου,,,,
Διαμαντοπούλου,Άννα,Δημητρίου,,,,
Παπουτσής,Χρήστος,Δημητρίου,,,,
Αλευράς,Αθανάσιος,(Νάσος),Γεωργίου,,,
Κανέλλη,Γαρυφαλλιά,(Λιάνα),Χρήστου,,,
Καφαντάρη,Ευθαλία,(Λίλα),Ηλία,,,
Φιλίνη,Άννα,Κωνσταντίνου,,,,
Κοροβέσης,Περικλής,-,Ηλίας,Χρίστου,,
Τσούρας,Αθανάσιος,Αγγέλου,,,,
Γεωργίου,Γεώργιος,Στεργίου,,,,
Μιχαλολιάκος,Βασίλειος,Ιωάννη,,,,
Μελάς,Παναγιώτης,Ιωάννη,,,,
Σημίτης,Κώστας,Γεωργίου,,,,
Δρίτσας,Θεόδωρος,Παναγιώτη,,,,
